Neuron_ID,Neuron_Label,A,Region_A,B,Region_B,C,Region_C
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0015423,hilar portion of hepatic duct,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0015423,hilar portion of hepatic duct,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002017,portal vein,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/114,neuron type liver 114,http://uri.interlex.org/base/ilx_0790316,left nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002017,portal vein,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct,http://uri.interlex.org/base/ilx_0793827,posterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://uri.interlex.org/base/ilx_0793827,posterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002017,portal vein,http://uri.interlex.org/base/ilx_0793827,posterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/115,neuron type liver 115,http://uri.interlex.org/base/ilx_0792433,right nodose ganglion,http://purl.obolibrary.org/obo/UBERON_0002017,portal vein,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/122,neuron type liver 122,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0795010,parasympathetic ganglia of the liver,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/124,neuron type liver 124,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0795010,parasympathetic ganglia of the liver,http://uri.interlex.org/base/ilx_0793827,posterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/124,neuron type liver 124,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0795010,parasympathetic ganglia of the liver,http://uri.interlex.org/base/ilx_0794506,posterior hepatic branch of vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002394,bile duct,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0015423,hilar portion of hepatic duct,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0015423,hilar portion of hepatic duct,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://uri.interlex.org/base/ilx_0793826,anterior abdominal vagal trunk
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/liver/127,neuron type liver 127,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset1/14,neuron type mmset1 14,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0002370,thymus,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset4/4a,neuron type mmset4 4a,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://uri.interlex.org/base/ilx_0794910,ovarian ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset4/4b,neuron type mmset4 4b,http://purl.obolibrary.org/obo/UBERON_0001719,nucleus ambiguus,http://uri.interlex.org/base/ilx_0794910,ovarian ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset4/4c,neuron type mmset4 4c,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://uri.interlex.org/base/ilx_0794910,ovarian ganglion,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset4/6,neuron type mmset4 6,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/sparc-nlp/mmset4/6,neuron type mmset4 6,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0000992,ovary,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
